chunk_id,arquivo,titulo,fonte,categoria,subcategoria,ano,vigencia,tipo_documento,tema_principal,pagina_inicio,pagina_fim,chunk_numero_na_pagina,texto_chunk,tokens
chunk_00002,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,3,3,1,"ÍNDICE
1. RESUMO DO ESCOPO E OBJETIVOS............................................................................................................05
5. COMPRA DE CRÉDITOS DE ENERGIA RENOVÁVEL....................................................................................12
5.1. Empreendimentos comerciais, industriais e outros......................................................................................12
5.2. Empreendimentos residenciais.............................................................................................................................12
4.1. Geração de energia renovável On Site................................................................................................................11
4.2. Geração de energia renovável Oﬀ Site................................................................................................................12
3.1. Local (On site)..............................................................................................................................................................11
3.2. Fora do local (Oﬀ Site)...............................................................................................................................................11
3. EFICIÊNCIA ENERGÉTICA MÍNIMA PARA GERAÇÃO RENOVÁVEL ON SITE OU OFF SITE.....................10
4. GERAÇÃO DE ENERGIA RENOVÁVEL ON SITE OU OFF SITE.....................................................................11
2.1. Tempo de operação...................................................................................................................................................08
2.1.1. Certiﬁcação GBC Brasil Zero Energy deﬁnitiva..............................................................................................08
2.1.2. Pré-Certiﬁcação GBC Brasil Zero Energy provisória....................................................................................08
2.2. Taxa de ocupação mínima atual............................................................................................................................08
2.2.1. Empreendimentos comerciais e industriais..................................................................................................08
2.2.2. Empreendimentos residenciais.........................................................................................................................08
2.3. Metragens mínimas das áreas construídas........................................................................................................08
2.3.1. Empreendimentos comerciais e industriais..................................................................................................08
2.3.2. Empreendimentos residenciais.........................................................................................................................09
2.4. Tipologia........................................................................................................................................................................09
2.4.1. Conﬁrmação de empreendimento permanente e não provisório.........................................................09
2.4.2. Empreendimento de torre única ou condomínio........................................................................................09
2.4.2.1. Empreendimentos de torre única..................................................................................................................10
2.4.2.2. Certiﬁcação de condomínios..........................................................................................................................10
2.5. Atendimento às legislações municipais, estaduais e federais...................................................................10
2.6. Edifício oﬀ-grid...........................................................................................................................................................10
2. REQUISITOS PARA QUALIFICAÇÃO A CERTIFICAÇÃO GBC BRASIL ZERO ENERGY..............................08
1.1. Pré-Certiﬁcação GBC Brasil Zero Energy............................................................................................................07
1.2. Certiﬁcação GBC Brasil Zero Energy.....................................................................................................................07
1.3. Características da Certiﬁcação...............................................................................................................................07
1.4. Objetivos.......................................................................................................................................................................07
1.5. Conceito de ediﬁcação Net Zero Energy Building...........................................................................................08
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY",679
chunk_00003,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,4,4,1,"7.1. Prazo de validade da certiﬁcação..........................................................................................................................13
7.2. Renovação.....................................................................................................................................................................13
9.1. Projeto CICS – Centro de Inovação em Construção Sustentável – USP São Paulo - SP........................14
9.2. Projeto Sede RAC Engenharia – Curitiba - PR....................................................................................................15
9.3. Projeto Creche Municipal Hassis – Florianópolis - SC.....................................................................................16
9.4. Projeto Sede SINDUSCON PR – Curitiba - PR.....................................................................................................17
9.5. Projeto Casa do Futuro – Atibaia - SP....................................................................................................................18
9.6. Projeto Montage Botafogo – Campinas - SP......................................................................................................19
9.7. Projeto Escritório Advocacia De Paola & Panasolo - Curitiba - PR..............................................................20
9.8. Projeto Casa Mão Verde – Piracicaba – SP...........................................................................................................21
9.9. Projeto Lar Verde Lar – Governador Valadares – MG......................................................................................22
9.10. Projeto Sede Sebrae Mato Grosso – Cuiabá - MT...........................................................................................23
9.11. Projeto Geonergia - Tamboara – Tamboara - PR............................................................................................24
10.1. Check list de viabilidade para certiﬁcação......................................................................................................25
10.2. Anexo A - Formulário inscrição/avaliação projeto Net Zero......................................................................26
10.3. Anexo B - Formulário de fechamento do balanço energético anual......................................................27
11.1. Edifício zero energia local.....................................................................................................................................28
11.2. Edifício custo zero de energia..............................................................................................................................28
11.3. Edifício zero energia primária..............................................................................................................................28
11.4. Edifício energia de emissão zero.........................................................................................................................28
11.5. RECs – certiﬁcados de energia renovável.......................................................................................................28
11.6. CERs – certiﬁcados de emissões reduzidas....................................................................................................28
11.7. PPA com REC..............................................................................................................................................................28
11.8. I-REC Standards / REC Brazil..................................................................................................................................28
11.9. Fontes de energia renováveis..............................................................................................................................28
11. GLOSSÁRIO...................................................................................................................................................28
10. FORMULÁRIOS.............................................................................................................................................25
9. PROJETOS-PILOTOS GBC BRASIL ZERO ENERGY......................................................................................14
7. CERTIFICAÇÃO................................................................................................................................................13
6. USO DE ENERGIA NÃO-RENOVÁVEL..........................................................................................................13
ÍNDICE
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY
8. BALANÇO ENERGÉTICO ANUAL DO EDIFÍCIO...........................................................................................13",661
chunk_00004,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,5,5,1,"1. RESUMO DO ESCOPO E OBJETIVOS
O GBC Brasil (Green Building Council Brasil) integra o Programa Global “Advancing Net Zero”, concebido 
para o cumprimento das metas do acordo da COP 21 (Paris), para a execução do comprometimento do 
World GBC e 74 Green Building Councils, em conjunto com 27.000 empresas associadas.
O programa consiste em zerar as emissões de carbono na atmosfera oriundas do setor da construção civil 
até 2050, de forma que todas as novas ediﬁcações e grandes reformas se tornem Net Zero a partir de 2030, 
e 100% dos edifícios se tornem Net Zero até 2050. A implantação da meta se viabilizará por meio da criação 
de ferramentas de certiﬁcação para ediﬁcações Net Zero, a serem desenvolvidas por 10 dos 74 GBC
espalhados pelo mundo. O GBC Brasil foi um dos convidados em vista dos diversos projetos no país que 
estão investindo em eﬁciência energética e renováveis in loco.
Apesar da parceria entre os países e do apoio do WGBC, cada país será responsável pela criação da sua 
própria ferramenta de acordo com as especiﬁcidades locais. Para o atingimento da meta e visando à
transformação da indústria nacional, o GBC Brasil criou o “Programa Net Zero”, que tem, entre suas 
atividades, o desenvolvimento da ferramenta de Certiﬁcação Net Zero.
O governo brasileiro está engajado neste desaﬁo. No Relatório Edifícios de Baixo Carbono no Brasil: 
Aspectos e Subsídios para Programas Nacionais, elaborado pelo Instituto Clima e Sociedade, foram 
abordados alguns conceitos fundamentais para a deﬁnição do Conceito de Net Zero para o Brasil, entre 
eles: 
• As Fontes de emissão de CO no Brasil e o crescimento das Emissões de Gases de Efeito Estufa emitidos 
pelas Ediﬁcações;
CONSUMO DE ENERGIA TOTAL
Fonte: Balanço Energético Nacional (BEN), 2016.
FONTES ENERGÉTICAS
RESIDENCIAL
24.951 tep
1,2%
25,4%
26,2%
45,2%
1,9%
PÚBLICO
3.980 tep
92,2%
6,5%
1,1%
CONSUMO DE ENERGIA ELÉTRICA
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY
RESIDENCIAL
10%
SETOR ENERGÉTICO
11%
COMERCIAL
4%
PÚBLICO
2%
TRANSPORTES TOTAL
34%
INDÚSTRIA TOTAL
34%
AGROPECUÁRIO
5%
TOTAL:
245.446 tep
EDIFÍCIOS:
51% DA 
ELETRICIDADE
RESIDENCIAL
10%
COMERCIAL
4%
PÚBLICO
2%
SETOR ENERGÉTICO
11%
INDÚSTRIA TOTAL
34%
AGROPECUÁRIO
5%
COMERCIAL
8.582 tep
1,3%
4,6%
91,6%
Gás Natural
GLP
Óleo Diesel
Eletricidade
Lenha
Querosene
Óleo Combustível
Carvão Vegetal",802
chunk_00006,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,6,6,1,"• INDCs (Contribuições Nacionalmente Determinadas Pretendidas) brasileiras: Políticas e Programas 
de Governos para uma redução de 37% nas emissões de gases de efeito estufa até 2025 e redução 
de 43% nas emissões até 2030 em relação à linha de base de 2005, regulamentação para geração 
distribuída com a implementação da legislação de Net-Metering em 2012 (e uma atualização em 
2015 dos regulamentos).
Existe ainda uma previsão do aumento 
de consumo de energia em ediﬁcações 
até 2050 (dados da EPE).
2.056 MtCO2e em 2005
Fonte: CBCS. “Aspectos da construção 
sustentável no Brasil”, 2014.
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY
70.000
10.000
20.000
30.000
50.000
40.000
60.000
2014 - Combustíveis
2014 - Elétrico
2050 - Combustíveis
2050 - Elétrico
Comercial
Residencial
PREVISÃO DE AUMENTO
EMISSÕES GLOBAIS
3,83%
EM 2012
BRASIL
REDUÇÕES DAS
EMISSÕES
POR UNIDADE
DO PIB
 
 
 
75%
66%
REDUZIR
EM 2025
37%
EMISSÕES DE
GASES DE EFEITO
ESTUFA
43%
ATÉ 2030
PARA TODA A ECONOMIA
METAS
6,5
6,2
5,4
tCO e
tCO e
tCO e
 
 
 
 
 
 
METAS DE REDUÇÕES
PER CAPITA
ECONOMIA DE GASES
CO
CH
N O
PFCs
HFCs
SF
MOI:
NÃO DEPENDE DE APOIO
FINANCEIRO INTERNACIONAL
FINANÇAS:
COOPERAÇÃO
SUL-SUL",477
chunk_00007,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,7,7,1,"1.1. PRÉ-CERTIFICAÇÃO GBC BRASIL 
ZERO ENERGY
A Pré-Certiﬁcação GBC Brasil Zero Energy é opcional 
e pode ser aplicada a todos os empreendimentos 
que apresentem estratégias para zerar seu consumo 
anual de energia local com uma combinação de alta 
eﬁciência energética e geração de energia por 
fontes renováveis. 
1.2. CERTIFICAÇÃO GBC BRASIL ZERO 
ENERGY
A Certiﬁcação GBC Brasil Zero Energy é uma 
ferramenta extremamente prática e eﬁciente para 
impulsionar a construção, reforma ou operação de 
edifícios que visam o equilíbrio entre consumo e 
geração de energia, transformado-as em 
empreendimentos GBC Brasil Zero Energy. 
1.3. CARACTERÍSTICAS DA
CERTIFICAÇÃO
Certiﬁcação GBC Brasil Zero Energy tem como 
principais características:
 1. Ferramenta nacional – Pode ser aplicada em 
todo o território brasileiro sem a necessidade de 
adaptações;
 2. Caráter voluntário – Por não ser obrigada por 
legislação, pode ser adotada de forma voluntária 
pelos empreendedores que querem se destacar no 
mercado e sair na frente dos concorrentes, 
adaptando seus empreendimentos às mais novas 
exigências do público ﬁnal;
 3. Viabilidade técnica e ﬁnanceira – Estudos 
realizados durante os trabalhos do comitê técnico 
de elaboração do referencial para Certiﬁcação GBC 
Brasil Zero Energy ajudaram a adequar os requisitos 
mínimos às diversas tipologias que poderão buscar 
esta certiﬁcação, visando ao atendimento técnico e 
ﬁnanceiro das estratégias a serem adotadas;
 4. Aplicação prática e simples – Com base em 
critérios claros e bem deﬁnidos, a sua aplicação é 
simples e de fácil obtenção para empreendimentos 
cuja premissas é a busca da eﬁciência energética em 
projeto, visando à redução dos custos operacionais 
ao longo do seu ciclo de vida;
 
 5. Transparência – Indicadores claros e bem 
deﬁnidos e uma auditoria de terceira parte para 
avaliação dos projetos e do desempenho real 
in loco garantem a sua transparência.
1.4. OBJETIVOS
Temos como resultados esperados, além do ambiental, 
os benefícios econômicos e sociais listados abaixo:
 1. Garantir o cumprimento das metas da COP 
Paris;
 2. Acelerar a transformação do mercado nacional 
de eﬁciência energética e a geração de fontes de 
energia renováveis; 
 3. Gerar novos empregos;
 4. Desenvolver novas tecnologias;
 5. Reconhecer a iniciativa dos empreendedores;
 6. Promover ambientes mais saudáveis, capazes 
de propiciar a melhora do bem-estar dos ocupantes.
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY",759
chunk_00008,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,8,8,1,"Evidências: 
Edifícios Novos
Deverão ser entregues o relatório de simulação 
termoenergética do projeto com o consumo anual 
total de energia, assim como os cálculos e o projeto 
do potencial total de geração que comprovem a 
compensação energética planejada ao longo de um 
ano.
Edifícios Existentes: Deverão ser entregues as 
contas de energia elétrica e demais fontes de 
energia dos últimos 12 meses e cálculos e projeto da 
compensação energética planejada.
2.2. TAXA DE OCUPAÇÃO MÍNIMA 
ATUAL
2.2.1. EMPREENDIMENTOS
COMERCIAIS E INDUSTRIAIS
Para que a ediﬁcação seja elegível para a certiﬁcação 
GBC Brasil Zero Energy, deverá ter ocupação mínima 
(deﬁnida como média ou típica ocupação esperada 
durante o funcionamento normal), pelo menos nos 
12 meses durante o período de medição para a 
certiﬁcação, onde: 
Opção 01:
Pelo menos 50% da capacidade normal do edifício 
deve estar ﬁsicamente ocupada e os sistemas 
correspondentes do edifício devem operar
normalmente por um ano, para o início do período 
de medição. 
OU
Opção 02: 
Se o espaço está desocupado e não cumpre a 
exigência mínima, o GBC Brasil permitirá a ponderação 
do tempo, onde a ocupação cheia por alguns meses 
pode contrabalançar um nível de ocupação menor 
de 50% durante os outros meses do período da 
certiﬁcação. 
1.5. CONCEITO DE EDIFICAÇÃO NET 
ZERO ENERGY BUILDING
Para a certiﬁcação GBC Brasil Zero Energy considera-se 
Net Zero Building (NZB):
""NZEB é o edifício que comprova que o consumo 
de energia local da operação anual é zerado por 
uma combinação de alta eﬁciência energética e 
geração de energia por fontes renováveis."" 
2. REQUISITOS PARA 
QUALIFICAÇÃO A 
GBC BRASIL ZERO ENERGY
2.1. TEMPO DE OPERAÇÃO
2.1.1. CERTIFICAÇÃO GBC BRASIL 
ZERO ENERGY DEFINITIVA
Para a obtenção da certiﬁcação GBC Brasil Zero 
Energy deﬁnitiva, todos os empreendimentos 
deverão ter pelo menos 1 ano de operação 
monitorado de forma contínua com o seu balanço 
energético anual zerado. 
Evidências: 
Deverá ser entregue o Formulário do Balanço 
Energético (Anexo A) anual zerado, assim como 
todas as contas de energia e de geração anual de 
energia. No caso de instalação de medidores 
individualizados privados, o empreendimento 
deverá apresentar os dados do medidor e a 
calibração conforme recomendada pelo fabricante.
2.1.2. PRÉ-CERTIFICAÇÃO GBC BRASIL 
ZERO ENERGY
Destina-se a projetos de empreendimentos novos 
ou existentes que comprovem, por meio das evidências, 
que o balanço energético será zerado durante o 
período de um ano.
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY",802
chunk_00010,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,9,9,1,"• O GBC Brasil não impedirá o projeto de 
conseguir a certiﬁcação se a ocupação cair
inesperadamente abaixo de 50% após o registro e 
sob operações normais, desde que a aplicação da 
certiﬁcação esteja submetida antes de dois meses 
do declínio.
Evidências: 
Deverá ser entregue uma carta assinada pelo 
empreendedor atestando a ocupação
2.2.2. EMPREENDIMENTOS
RESIDENCIAIS
O requisito Taxa de Ocupação não será aplicado a 
empreendimentos residenciais.
Evidências: 
Deverá ser entregue o projeto de arquitetura do 
empreendimento ou a certidão do imóvel que 
comprove o uso residencial.
2.3. METRAGENS MÍNIMAS DAS ÁREAS 
CONSTRUÍDAS
2.3.1. EMPREENDIMENTOS
COMERCIAIS E INDUSTRIAIS
Estas tipologias deverão ter no mínimo 100 m2 de 
área construída.
Evidências: 
Deverá ser entregue o projeto de arquitetura do 
empreendimento, com o detalhamento do quadro 
de áreas, ou a certidão do imóvel que comprove a 
área mínima de construção exigida.
2.3.2. EMPREENDIMENTOS 
RESIDENCIAIS 
Não haverá limite de área mínima para unidades 
unifamiliares residenciais.
Evidências:
Deverá ser entregue o projeto de arquitetura do 
empreendimento, com o detalhamento do quadro 
de áreas ou a certidão do imóvel que comprove a 
área mínima de construção exigida.
Nota 1: 
100% das áreas do edifício devem ser consideradas na 
aplicação da certiﬁcação, com a seguinte exceção: se 
as operações estão sob o controle de gerência separado 
para uma parcela do edifício, até 10% da sua área 
poderá ser excluída. Outras isenções são proibidas.
2.4. TIPOLOGIA 
2.4.1. CONFIRMAÇÃO DE
EMPREENDIMENTO PERMANENTE E 
NÃO PROVISÓRIO
Não será possível a certiﬁcação de construções 
provisórias, tais como stand de vendas, canteiros de 
obras, palcos e estruturas para eventos e shows, 
entre outros.
Evidências: 
Deverá ser entregue o projeto de arquitetura do 
empreendimento que comprove seu uso permanente.
2.4.2. EMPREENDIMENTO DE TORRE 
ÚNICA OU CONDOMÍNIO
A tipologia será livre para todos os empreendimentos 
comerciais, residenciais, escolas, institucionais, 
edifícios de saúde, públicos e industriais, sejam 
horizontais, sejam verticais, em torres únicas ou 
condomínios, desde que atendam a todos os critérios 
elegíveis para a certiﬁcação e comprovem o balanço 
zero ao ﬁnal de um ano de operação.
2.4.2.1. EMPREENDIMENTO DE TORRE 
ÚNICA
A certiﬁcação será concedida ao empreendimento 
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY",794
chunk_00012,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,10,10,1,"como um todo (todas as áreas referentes ao perímetro 
da ediﬁcação, que deverá apresentar todas as contas 
de energia do edifício ou ter um medidor único de 
toda a energia consumida) que comprovar seu 
consumo zerado, ou seja, não haverá possibilidade 
de recortes de áreas dentro do edifício para obter a 
certiﬁcação (por exemplo: interiores de lojas dentro 
de shoppings ou escritórios dentro de edifícios 
comerciais ou apartamentos dentro de edifícios 
residenciais).
Evidências:
Deverão ser entregues o layout das áreas locáveis e 
das áreas ocupadas no momento da inscrição do 
empreendimento, bem como a cópia dos contratos 
de locação ou venda desses espaços e suas contas 
de energia ou outros insumos energéticos.
2.4.2.2. CERTIFICAÇÃO DE 
CONDOMÍNIOS
Para que o Condomínio seja certiﬁcado, todas as 
suas ediﬁcações e áreas comuns devem ser certiﬁcadas, 
comprovando que o seu consumo total foi zerado.
Evidências: 
Deverão ser entregues o projeto de implantação do 
condomínio com o detalhamento de cada bloco, 
bem como a cópia dos contratos de locação ou 
venda desses espaços e as contas de energia ou 
outros insumos energéticos.
2.5. ATENDIMENTO ÀS LEGISLAÇÕES 
MUNICIPAIS, ESTADUAIS E FEDERAIS
O empreendimento deve estar em conformidade 
com as legislações municipais, estaduais e federais, 
o que inclui não só AVCB, Habite-se, Licenças de 
Operação, Licenças Ambientais, como também
outras que se ﬁzerem necessárias pela
particularidade da ediﬁcação e que deverão ser 
apresentadas no início do processo de certiﬁcação.
Evidências: 
Deverá ser entregue a declaração de cumprimento 
às legislações municipais, estaduais e federais 
pertinentes ao empreendimento.
2.6. EDIFÍCIO OFF-GRID
Um edifício oﬀ-grid (sem conexão à rede elétrica) 
será Net-Zero se todo o seu consumo de energia for 
proveniente de fontes renováveis. Caso haja consumo 
de energia não renovável (como o uso de geradores 
a diesel, por exemplo) de até 5% do consumo total 
do edifício, será possível certiﬁcar Net-Zero, 
comprovando a geração da mesma quantidade de 
energia primária advinda de fontes renováveis, por 
meio da aquisição de certiﬁcados de energia 
renovável na rede elétrica.
Evidências: 
Deverão ser entregues os projetos elétricos que 
comprovem a geração total de energia on site e 
seus possíveis backups para geração total do 
consumo de energia anual, devidamente assinado 
por responsável técnico, assim como o consumo 
anual de combustível fóssil utilizado durante o ano, 
e a documentação que comprove a compensação 
das emissões de CO deste sistema com a compra 
de certiﬁcados de energia renovável na rede elétrica.
3. EFICIÊNCIA ENERGÉTICA 
MÍNIMA PARA GERAÇÃO 
RENOVÁVEL ON SITE OU OFF 
SITE
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY",848
chunk_00014,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,11,11,1,"3.1. LOCAL (ON SITE)
Se 100% da energia elétrica necessária for gerada 
por energia renovável no local, o edifício não
precisará comprovar eﬁciência energética mínima 
para receber a Certiﬁcação. Para tanto, bastará o 
edifício relatar as ações existentes de eﬁciência 
energética.
Evidências: 
Deverá ser entregue o relatório de eﬁciência energética 
do empreendimento, devidamente assinado por um 
responsável técnico, em que sejam apontadas as ações 
existentes de eﬁciência energética implantadas.
3.2. FORA DO LOCAL (OFF SITE)
Empreendimentos que comprem ou gerem energias 
renováveis fora do local precisam demonstrar que 
são energeticamente eﬁcientes. A comprovação 
ocorrerá com as seguintes opções:
Opção 01: 
Possuir certiﬁcação ambiental para edifícios susten-
táveis.
Certiﬁcações validadas: PBE Ediﬁca nível A, LEED, 
GBC Brasil CASA, AQUA-HQE ou outras certiﬁcações 
a serem aprovadas pontualmente pelo GBC Brasil.
OU
Opção 02: 
Comprovar a redução de 5% em relação à norma 
ASHRAE 90.1 – 2010.
OU
Opção 03: 
Comprovar a redução de 18% em relação aos 
requerimentos da ASHRAE 90.1-2007 apresentando 
um relatório técnico elaborado por proﬁssional 
qualiﬁcado, detalhando todas as soluções empregadas. 
Opção 04:
Comprovar que as contas apresentadas para 12 
meses consecutivos de consumo energético dentre 
os últimos 18 meses mostram um consumo 30% 
abaixo do nível de um edifício típico deﬁnido em 
conformidade com o indicador do projeto DEO do 
CBCS (disponível atualmente apenas para agências 
bancárias, escritórios corporativos e edifícios 
administrativos públicos).
OU
Opção 05:
Quando não houver um consumo base de energia 
do edifício existente proposto no DEO ou não for 
realizada a Simulação Energética calibrada, deverá 
ser usado como base o consumo médio contínuo de 
3 dos últimos 5 anos do próprio edifício e reduzir 
este consumo em pelo menos 15%.
Evidências:
Deverá ser entregue o Certiﬁcado de Green 
Building: PBE Ediﬁca, LEED, GBC Brasil CASA, 
AQUA_HQE, ou o Relatório técnico com redução de 
5%, ou o indicador típico do Benchmarking do DEO 
do CBCS com redução de 30%, ou os Cálculos do 
Consumo médio do Edifício Base com redução de 
15%, devidamente assinado por responsável técnico.
4. GERAÇÃO DE ENERGIA
RENOVÁVEL ON SITE OU OFF 
SITE
4.1. GERAÇÃO DE ENERGIA 
RENOVÁVEL ON SITE
Quando a geração de energia renovável ocorrer 
dentro dos limites do projeto a ser certiﬁcado e o 
sistema estiver conectado à rede elétrica da concessionária 
em conformidade com a RN 687-2015 da 
CERTIFICAÇÃO GBC BRASIL ZERO ENERGY",842
chunk_00016,01_gbc_zero_energy_guia.pdf,Guia Completo GBC Zero Energy,GBC Brasil,certificacao,energia_net_zero,2019,vigente,guia técnico,certificação zero energy e balanço energético,12,12,1,"ANEEL, sua geração será abatida da totalidade do 
consumo de energia global anual do edifício, de 
acordo com o fator de conversão das energias 
primárias deﬁnidas pelo CB3E de acordo com a 
metodologia do PBE Ediﬁca, exceto para energia 
elétrica onde o fator a ser utilizado será de 1,0 e não 
de 1,6 como usado pelo PBE.
Evidências:
Deverão ser entregues os projetos de geração de 
energia on site aprovados na concessionária local 
que comprovem a geração total de energia anual, 
assim como o relatório de consumo anual de 
energia do empreendimento, devidamente assinado 
por responsável técnico.
4.2. GERAÇÃO DE ENERGIA
RENOVÁVEL OFF SITE
Quando a geração de energia renovável adicional 
(complementar ao que não foi gerado internamente) 
for realizada fora do edifício, em outros locais em 
conformidade com a RN 687-2015 da ANEEL e que 
optam por realizar a compensação de energia na 
conta do edifício a ser certiﬁcado, também será 
considerada sua totalidade para abater do consumo 
anual do edifício, de acordo com o fator de conversão 
das energias primárias deﬁnidas pelo CB3E de 
acordo com a metodologia do PBE Ediﬁca, exceto 
para energia elétrica onde o fator a ser utilizado será 
o de 1,0 e não de 1,6 como usado pelo PBE.
Evidências: 
Deverão ser entregues os projetos elétricos de 
geração de energia oﬀ site aprovados na 
concessionária local que comprovem a geração total 
de energia anual, assim como o relatório de 
consumo anual de energia do empreendimento e o 
contrato de fornecimento com o potencial de 
geração anual oﬀ site, devidamente assinado por 
um responsável técnico.
5. COMPRA DE CRÉDITOS DE 
ENERGIA RENOVÁVEL
5.1. EMPREENDIMENTOS
COMERCIAIS, INDUSTRIAIS E OUTROS
Caso a soma de energia gerada no local e de energia 
gerada fora do próprio edifício não residencial não 
seja suﬁciente para atingir a condição de edifício 
Net-Zero, o consumo energético adicional do 
edifício pode ser compensado por meio da compra 
de energia renovável através de PPA com REC Brazil 
ou REC Brazil limitado a 10% do consumo anual 
total de energia do edifício.
A compensação de outras fontes de energias, 
incluindo gás natural, GLP, óleo diesel, entre outros a 
avaliar, que não sejam usadas no edifício para 
geração de energia elétrica, poderá ser realizada 
através de RECs, mesmo que ela ultrapasse o limite 
de 10% do consumo anual total.
Evidências:
Deverão ser entregues o contrato de compra dos 
PPA com REC Brazil ou REC Brazil, assim como um 
relatório da geração anual total de energia fornecida 
ao empreendimento.
5.2. EMPREENDIMENTOS
RESIDENCIAIS
Para empreendimentos residenciais, os consumos de 
outras fontes de energias (por exemplo, gás natural, 
GLP, óleo diesel, entre outras a avaliar) que não sejam 
utilizadas para geração de energia elétrica, assim 
como a taxa de disponibilidade, poderão ser compen-
sados através da aquisição de REC Brazil, mesmo que 
estes consumos ultrapassem o limite de 10% do 
consumo equival",900
